,res_id,filetype,filesize_mb,event,duration_ms
550,resource_274,,0,looping overhead,0
551,resource_275,,0,resource creation,139
552,resource_275,,0,looping overhead,0
553,resource_276,,0,resource creation,96
554,resource_276,,0,looping overhead,0
555,resource_277,,0,resource creation,105
556,resource_277,,0,looping overhead,0
557,resource_278,,0,resource creation,133
558,resource_278,,0,looping overhead,0
559,resource_279,,0,resource creation,114
560,resource_279,,0,looping overhead,0
561,resource_280,,0,resource creation,156
562,resource_280,,0,looping overhead,0
563,resource_281,,0,resource creation,101
564,resource_281,,0,looping overhead,0
565,resource_282,,0,resource creation,105
566,resource_282,,0,looping overhead,0
567,resource_283,,0,resource creation,123
568,resource_283,,0,looping overhead,0
569,resource_284,,0,resource creation,100
570,resource_284,,0,looping overhead,0
571,resource_285,,0,resource creation,134
572,resource_285,,0,looping overhead,0
573,resource_286,,0,resource creation,97
574,resource_286,,0,looping overhead,0
575,resource_287,,0,resource creation,110
576,resource_287,,0,looping overhead,0
577,resource_288,,0,resource creation,129
578,resource_288,,0,looping overhead,0
579,resource_289,,0,resource creation,143
580,resource_289,,0,looping overhead,0
581,resource_290,,0,resource creation,130
582,resource_290,,0,looping overhead,0
583,resource_291,,0,resource creation,101
584,resource_291,,0,looping overhead,0
585,resource_292,,0,resource creation,112
586,resource_292,,0,looping overhead,0
587,resource_293,,0,resource creation,131
588,resource_293,,0,looping overhead,0
589,resource_294,,0,resource creation,111
590,resource_294,,0,looping overhead,0
591,resource_295,,0,resource creation,133
592,resource_295,,0,looping overhead,0
593,resource_296,,0,resource creation,122
594,resource_296,,0,looping overhead,0
595,resource_297,,0,resource creation,155
596,resource_297,,0,looping overhead,0
597,resource_298,,0,resource creation,124
598,resource_298,,0,looping overhead,0
599,resource_299,,0,resource creation,102
600,resource_299,,0,looping overhead,0
601,resource_300,,0,resource creation,125
602,resource_300,,0,looping overhead,0
603,resource_301,,0,resource creation,102
604,resource_301,,0,looping overhead,0
605,resource_302,,0,resource creation,99
606,resource_302,,0,looping overhead,0
607,resource_303,,0,resource creation,122
608,resource_303,,0,looping overhead,0
609,resource_304,,0,resource creation,111
610,resource_304,,0,looping overhead,0
611,resource_305,,0,resource creation,134
612,resource_305,,0,looping overhead,0
613,resource_306,,0,resource creation,113
614,resource_306,,0,looping overhead,0
615,resource_307,,0,resource creation,99
616,resource_307,,0,looping overhead,0
617,resource_308,,0,resource creation,118
618,resource_308,,0,looping overhead,0
619,resource_309,,0,resource creation,98
620,resource_309,,0,looping overhead,0
621,resource_310,,0,resource creation,137
622,resource_310,,0,looping overhead,0
623,resource_311,,0,resource creation,107
624,resource_311,,0,looping overhead,0
625,resource_312,,0,resource creation,105
626,resource_312,,0,looping overhead,0
627,resource_313,,0,resource creation,132
628,resource_313,,0,looping overhead,0
629,resource_314,,0,resource creation,110
630,resource_314,,0,looping overhead,0
631,resource_315,,0,resource creation,142
632,resource_315,,0,looping overhead,0
633,resource_316,,0,resource creation,98
634,resource_316,,0,looping overhead,0
635,resource_317,,0,resource creation,103
636,resource_317,,0,looping overhead,0
637,resource_318,,0,resource creation,146
638,resource_318,,0,looping overhead,0
639,resource_319,,0,resource creation,114
640,resource_319,,0,looping overhead,0
641,resource_320,,0,resource creation,137
642,resource_320,,0,looping overhead,0
643,resource_321,,0,resource creation,104
644,resource_321,,0,looping overhead,0
645,resource_322,,0,resource creation,102
646,resource_322,,0,looping overhead,0
647,resource_323,,0,resource creation,123
648,resource_323,,0,looping overhead,0
649,resource_324,,0,resource creation,108
650,resource_324,,0,looping overhead,0
651,resource_325,,0,resource creation,131
652,resource_325,,0,looping overhead,0
653,resource_326,,0,resource creation,102
654,resource_326,,0,looping overhead,0
655,resource_327,,0,resource creation,106
656,resource_327,,0,looping overhead,0
657,resource_328,,0,resource creation,124
658,resource_328,,0,looping overhead,0
659,resource_329,,0,resource creation,109
660,resource_329,,0,looping overhead,0
661,resource_330,,0,resource creation,138
662,resource_330,,0,looping overhead,0
663,resource_331,,0,resource creation,108
664,resource_331,,0,looping overhead,0
665,resource_332,,0,resource creation,155
666,resource_332,,0,looping overhead,0
667,resource_333,,0,resource creation,131
668,resource_333,,0,looping overhead,0
669,resource_334,,0,resource creation,100
670,resource_334,,0,looping overhead,0
671,resource_335,,0,resource creation,140
672,resource_335,,0,looping overhead,0
673,resource_336,,0,resource creation,106
674,resource_336,,0,looping overhead,0
675,resource_337,,0,resource creation,100
