,res_id,filetype,filesize_mb,event,duration_microsec
344,resource_171,,0,looping overhead,140
345,resource_172,,0,resource creation,175471
346,resource_172,,0,looping overhead,139
347,resource_173,,0,resource creation,177051
348,resource_173,,0,looping overhead,155
349,resource_174,,0,resource creation,176144
350,resource_174,,0,looping overhead,125
351,resource_175,,0,resource creation,191368
352,resource_175,,0,looping overhead,142
353,resource_176,,0,resource creation,446606
354,resource_176,,0,looping overhead,141
355,resource_177,,0,resource creation,216294
356,resource_177,,0,looping overhead,163
357,resource_178,,0,resource creation,229461
358,resource_178,,0,looping overhead,158
359,resource_179,,0,resource creation,337355
360,resource_179,,0,looping overhead,133
361,resource_180,,0,resource creation,144532
362,resource_180,,0,looping overhead,116
363,resource_181,,0,resource creation,171709
364,resource_181,,0,looping overhead,152
365,resource_182,,0,resource creation,136350
366,resource_182,,0,looping overhead,115
367,resource_183,,0,resource creation,162962
368,resource_183,,0,looping overhead,116
369,resource_184,,0,resource creation,155898
370,resource_184,,0,looping overhead,121
371,resource_185,,0,resource creation,150979
372,resource_185,,0,looping overhead,182
373,resource_186,,0,resource creation,179967
374,resource_186,,0,looping overhead,126
375,resource_187,,0,resource creation,145254
376,resource_187,,0,looping overhead,117
377,resource_188,,0,resource creation,189857
378,resource_188,,0,looping overhead,117
379,resource_189,,0,resource creation,130437
380,resource_189,,0,looping overhead,124
381,resource_190,,0,resource creation,145973
382,resource_190,,0,looping overhead,117
383,resource_191,,0,resource creation,125783
384,resource_191,,0,looping overhead,127
385,resource_192,,0,resource creation,145001
386,resource_192,,0,looping overhead,113
387,resource_193,,0,resource creation,162829
388,resource_193,,0,looping overhead,126
389,resource_194,,0,resource creation,130773
390,resource_194,,0,looping overhead,129
391,resource_195,,0,resource creation,159911
392,resource_195,,0,looping overhead,163
393,resource_196,,0,resource creation,131915
394,resource_196,,0,looping overhead,158
395,resource_197,,0,resource creation,164926
396,resource_197,,0,looping overhead,119
397,resource_198,,0,resource creation,126490
398,resource_198,,0,looping overhead,116
399,resource_199,,0,resource creation,160491
400,resource_199,,0,looping overhead,117
401,resource_200,,0,resource creation,158568
402,resource_200,,0,looping overhead,144
403,resource_201,,0,resource creation,121803
404,resource_201,,0,looping overhead,109
405,resource_202,,0,resource creation,153500
406,resource_202,,0,looping overhead,118
407,resource_203,,0,resource creation,133508
408,resource_203,,0,looping overhead,109
409,resource_204,,0,resource creation,210726
410,resource_204,,0,looping overhead,157
411,resource_205,,0,resource creation,135102
412,resource_205,,0,looping overhead,124
413,resource_206,,0,resource creation,157253
414,resource_206,,0,looping overhead,125
415,resource_207,,0,resource creation,156212
416,resource_207,,0,looping overhead,131
417,resource_208,,0,resource creation,136900
418,resource_208,,0,looping overhead,108
419,resource_209,,0,resource creation,179487
420,resource_209,,0,looping overhead,109
421,resource_210,,0,resource creation,166258
422,resource_210,,0,looping overhead,116
423,resource_211,,0,resource creation,169749
424,resource_211,,0,looping overhead,144
425,resource_212,,0,resource creation,126833
426,resource_212,,0,looping overhead,107
427,resource_213,,0,resource creation,139513
428,resource_213,,0,looping overhead,101
429,resource_214,,0,resource creation,162965
430,resource_214,,0,looping overhead,102
431,resource_215,,0,resource creation,134198
432,resource_215,,0,looping overhead,110
433,resource_216,,0,resource creation,150851
434,resource_216,,0,looping overhead,114
435,resource_217,,0,resource creation,116028
436,resource_217,,0,looping overhead,132
437,resource_218,,0,resource creation,144741
438,resource_218,,0,looping overhead,117
439,resource_219,,0,resource creation,120560
440,resource_219,,0,looping overhead,103
441,resource_220,,0,resource creation,140032
442,resource_220,,0,looping overhead,113
443,resource_221,,0,resource creation,177196
444,resource_221,,0,looping overhead,112
445,resource_222,,0,resource creation,129109
446,resource_222,,0,looping overhead,109
447,resource_223,,0,resource creation,155740
448,resource_223,,0,looping overhead,113
449,resource_224,,0,resource creation,136169
450,resource_224,,0,looping overhead,116
451,resource_225,,0,resource creation,143126
452,resource_225,,0,looping overhead,107
453,resource_226,,0,resource creation,120730
454,resource_226,,0,looping overhead,103
455,resource_227,,0,resource creation,136793
456,resource_227,,0,looping overhead,104
457,resource_228,,0,resource creation,164162
458,resource_228,,0,looping overhead,108
459,resource_229,,0,resource creation,119193
460,resource_229,,0,looping overhead,114
461,resource_230,,0,resource creation,149015
462,resource_230,,0,looping overhead,106
